Symbol,Company_Name,Industry
AAVAS.NS,Aavas Financiers Limited,Housing Finance Company
KAJARIACER.NS,Kajaria Ceramics Limited,Ceramics
COROMANDEL.NS,Coromandel International Limited,Fertilizers
LUPIN.NS,Lupin Limited,Pharmaceuticals
CHALET.NS,Chalet Hotels Limited,Hotels & Resorts
MARICO.NS,Marico Limited,Edible Oil
JYOTICNC.NS,Jyoti CNC Automation Limited,Industrial Products
UTIAMC.NS,UTI Asset Management Company Limited,Asset Management Company
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,Specialty Chemicals
SUNTV.NS,Sun TV Network Limited,TV Broadcasting & Software Production
COLPAL.NS,Colgate Palmolive (India) Limited,Personal Care
METROPOLIS.NS,Metropolis Healthcare Limited,Healthcare Service Provider
INOXWIND.NS,Inox Wind Limited,Heavy Electrical Equipment
LTFOODS.NS,LT Foods Limited,Other Agricultural Products
SYNGENE.NS,Syngene International Limited,Healthcare Research Analytics & Technology
MAPMYINDIA.NS,C.E. Info Systems Limited,Software Products
AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,Hospital
ACE.NS,Action Construction Equipment Limited,Construction Vehicles
NYKAA.NS,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce
AADHARHFC.NS,Aadhar Housing Finance Limited,Housing Finance Company
ATGL.NS,Adani Total Gas Limited,LPG/CNG/PNG/LNG Supplier
AFFLE.NS,Affle 3i Limited,IT Enabled Services
PIIND.NS,PI Industries Limited,Pesticides & Agrochemicals
JUBLFOOD.NS,Jubilant Foodworks Limited,Restaurants
ABBOTINDIA.NS,Abbott India Limited,Pharmaceuticals
CEATLTD.NS,CEAT Limited,Tyres & Rubber Products
JKCEMENT.NS,JK Cement Limited,Cement & Cement Products
MPHASIS.NS,MphasiS Limited,Computers - Software & Consulting
FEDERALBNK.NS,The Federal Bank  Limited,Private Sector Bank
ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Products Distributor
360ONE.NS,360 ONE WAM LIMITED,Stockbroking & Allied
KEC.NS,KEC International Limited,Civil Construction
ATHERENERG.NS,Ather Energy Limited,2/3 Wheelers
ZEEL.NS,Zee Entertainment Enterprises Limited,TV Broadcasting & Software Production
DOMS.NS,DOMS Industries Limited,Stationary
JYOTHYLAB.NS,Jyothy Labs Limited,Household Products
AUBANK.NS,AU Small Finance Bank Limited,Other Bank
AUROPHARMA.NS,Aurobindo Pharma Limited,Pharmaceuticals
POLYMED.NS,Poly Medicure Limited,Medical Equipment & Supplies
HAPPSTMNDS.NS,Happiest Minds Technologies Limited,Computers - Software & Consulting
BLS.NS,BLS International Services Limited,Tour Travel Related Services
KIMS.NS,Krishna Institute of Medical Sciences Limited,Hospital
